round,category,operation,inner_iterations,mean_us
11,hash_path,Merkle-style hash-path update N=10,1000,5.4412
11,hash_path,Merkle-style hash-path lookup N=50,1000,4.2993999999999994
11,hash_path,Merkle-style hash-path update N=50,1000,5.5451999999999995
11,hash_path,Merkle-style hash-path lookup N=100,1000,4.511
11,hash_path,Merkle-style hash-path update N=100,1000,6.1429
11,hash_path,Merkle-style hash-path lookup N=200,1000,5.269
11,hash_path,Merkle-style hash-path update N=200,1000,6.7383999999999995
11,hash_path,Merkle-style hash-path lookup N=500,1000,5.7266
11,hash_path,Merkle-style hash-path update N=500,1000,7.195399999999999
11,hash_path,Merkle-style hash-path lookup N=1000,1000,6.6703
11,hash_path,Merkle-style hash-path update N=1000,1000,8.3917
12,crypto,SHA-256 (256 B),2000,1.161
12,crypto,HMAC-SHA256 (256 B),2000,1.7643
12,crypto,AES-128-GCM encrypt (256 B),2000,0.7129500000000001
12,crypto,AES-128-GCM decrypt (256 B),2000,0.68935
12,crypto,ECDSA-P256 sign,300,21.522
12,crypto,ECDSA-P256 verify,300,51.916666666666664
12,crypto,ECDH-P256 shared secret,300,38.586666666666666
12,crypto,ECC-P256 key generation,80,12.35375
12,crypto,X25519 shared secret,600,23.992
12,crypto,RSA-2048 sign,50,436.862
12,crypto,RSA-2048 verify,300,18.276666666666667
12,hash_path,Merkle-style hash-path lookup N=1,1000,0.8923
12,hash_path,Merkle-style hash-path update N=1,1000,2.2454
12,hash_path,Merkle-style hash-path lookup N=10,1000,2.7131
12,hash_path,Merkle-style hash-path update N=10,1000,4.298
12,hash_path,Merkle-style hash-path lookup N=50,1000,4.1385
12,hash_path,Merkle-style hash-path update N=50,1000,5.3422
12,hash_path,Merkle-style hash-path lookup N=100,1000,4.4079
12,hash_path,Merkle-style hash-path update N=100,1000,5.8107
12,hash_path,Merkle-style hash-path lookup N=200,1000,4.8638
12,hash_path,Merkle-style hash-path update N=200,1000,6.591
12,hash_path,Merkle-style hash-path lookup N=500,1000,5.627
